,y_true,nd_preds,lt_preds,dates
0,68,63.451771332614314,63.451771332614314,2018-01-07
1,85,63.451771332614314,59.658509243258216,2018-01-14
2,90,63.117122033701456,62.221870287415314,2018-01-21
3,92,83.46252024145329,65.52456504989263,2018-01-28
4,97,90.12840896024647,90.12840896024647,2018-02-04
5,98,90.12840896024647,81.38194306956298,2018-02-11
6,96,86.03919961520555,83.63555104302944,2018-02-18
7,102,103.7535107345647,93.3082571243123,2018-02-25
8,74,100.2030470364843,100.2030470364843,2018-03-04
9,73,100.2030470364843,96.61242015475756,2018-03-11
10,79,77.75784043670365,97.48829080878926,2018-03-18
11,89,83.95961293926288,101.23395774404749,2018-03-25
12,80,92.10641953953161,92.10641953953161,2018-04-01
13,62,92.10641953953161,97.25515200301264,2018-04-08
14,74,88.72057794195501,84.73462580862159,2018-04-15
15,65,71.56561529804782,87.21254948013836,2018-04-22
16,93,85.83717736486048,85.83717736486048,2018-04-29
17,51,85.83717736486048,71.15944536812749,2018-05-06
18,87,76.46346572865241,78.15804546910665,2018-05-13
19,62,62.65190277970407,77.22362087554674,2018-05-20
20,42,69.92174681064881,69.92174681064881,2018-05-27
21,41,69.92174681064881,67.03610646017913,2018-06-03
22,41,50.0016671581679,76.46868664422095,2018-06-10
23,64,50.232465493960554,76.72405177506374,2018-06-17
24,65,59.02055268626045,59.02055268626045,2018-06-24
25,43,59.02055268626045,70.08766998245784,2018-07-01
26,33,73.42961746134557,49.19525018635765,2018-07-08
27,27,47.19774064689906,55.148509504623604,2018-07-15
28,58,30.960953491221964,30.960953491221964,2018-07-22
29,67,30.960953491221964,25.612217303405604,2018-07-29
30,112,40.80105354326892,38.07521664743806,2018-08-05
31,111,68.9024271050856,39.571705993822256,2018-08-12
