,y_true,y_pred,dates
5797,68.0,47.31199,2018-01-07
5798,85.0,47.41911,2018-01-14
5799,90.0,50.042774,2018-01-21
5800,92.0,52.467705,2018-01-28
5801,97.0,47.14548,2018-02-04
5802,98.0,47.111168,2018-02-11
5803,96.0,47.07705,2018-02-18
5804,102.0,47.061768,2018-02-25
5805,74.0,48.16993,2018-03-04
5806,73.0,49.11018,2018-03-11
5807,79.0,49.652687,2018-03-18
5808,89.0,49.70466,2018-03-25
5809,80.0,59.81665,2018-04-01
5810,62.0,59.62995,2018-04-08
5811,74.0,59.09742,2018-04-15
5812,65.0,59.434807,2018-04-22
5813,93.0,77.39663,2018-04-29
5814,51.0,78.50296,2018-05-06
5815,87.0,76.75835,2018-05-13
5816,62.0,77.91023,2018-05-20
5817,42.0,62.835052,2018-05-27
5818,41.0,62.243618,2018-06-03
5819,41.0,61.890507,2018-06-10
5820,64.0,61.73782,2018-06-17
5821,65.0,63.74029,2018-06-24
5822,43.0,64.228516,2018-07-01
5823,33.0,63.602325,2018-07-08
5824,27.0,62.757816,2018-07-15
5825,58.0,64.05435,2018-07-22
5826,67.0,64.191475,2018-07-29
5827,112.0,64.396164,2018-08-05
5828,111.0,64.90317,2018-08-12
