,y_true,preds,dates
5797,68,73.02119431668791,2018-01-07
5798,85,78.75348661568918,2018-01-14
5799,90,82.71033089021832,2018-01-21
5800,92,93.76481674117504,2018-01-28
5801,97,104.27649362103847,2018-02-04
5802,98,107.80029903510336,2018-02-11
5803,96,100.24999510876222,2018-02-18
5804,102,89.66534722741982,2018-02-25
5805,74,90.97907602464679,2018-03-04
5806,73,76.60432082349199,2018-03-11
5807,79,82.44968161360902,2018-03-18
5808,89,100.35268549796976,2018-03-25
5809,80,80.95262740147868,2018-04-01
5810,62,61.86515553281389,2018-04-08
5811,74,53.44846146652161,2018-04-15
5812,65,82.74435670464052,2018-04-22
5813,93,82.55856368730196,2018-04-29
5814,51,92.38163757286496,2018-05-06
5815,87,53.8886681367852,2018-05-13
5816,62,79.41084598923092,2018-05-20
5817,42,66.22045908484574,2018-05-27
5818,41,41.727069198101645,2018-06-03
5819,41,33.11770109082822,2018-06-10
5820,64,32.79695863265597,2018-06-17
5821,65,54.01366866880741,2018-06-24
5822,43,73.90825568461906,2018-07-01
5823,33,40.07490941186413,2018-07-08
5824,27,27.413857615733153,2018-07-15
5825,58,30.873643011444365,2018-07-22
5826,67,68.60887099516697,2018-07-29
5827,112,72.15543334456432,2018-08-05
5828,111,109.93333173233171,2018-08-12
