,y_true,y_pred,dates
5797,68.0,56.545116,2018-01-07
5798,85.0,59.460907,2018-01-14
5799,90.0,56.332176,2018-01-21
5800,92.0,56.778553,2018-01-28
5801,97.0,33.039387,2018-02-04
5802,98.0,35.30315,2018-02-11
5803,96.0,36.114403,2018-02-18
5804,102.0,35.364742,2018-02-25
5805,74.0,62.179962,2018-03-04
5806,73.0,62.839546,2018-03-11
5807,79.0,61.426342,2018-03-18
5808,89.0,61.00269,2018-03-25
5809,80.0,48.229576,2018-04-01
5810,62.0,49.14191,2018-04-08
5811,74.0,47.364243,2018-04-15
5812,65.0,50.337685,2018-04-22
5813,93.0,68.01936,2018-04-29
5814,51.0,70.06153,2018-05-06
5815,87.0,69.58019,2018-05-13
5816,62.0,68.204956,2018-05-20
5817,42.0,58.58242,2018-05-27
5818,41.0,57.376183,2018-06-03
5819,41.0,64.074425,2018-06-10
5820,64.0,58.78343,2018-06-17
5821,65.0,71.38901,2018-06-24
5822,43.0,73.89219,2018-07-01
5823,33.0,68.19853,2018-07-08
5824,27.0,69.91403,2018-07-15
5825,58.0,65.41337,2018-07-22
5826,67.0,65.55918,2018-07-29
5827,112.0,68.59095,2018-08-05
5828,111.0,65.15057,2018-08-12
